Language,Default
60_Junk1x1_M_004_DescKey,Ржавая чаша с вмятинами, едва пригодной для использования.

60_Junk1x1_M_006_NameKey,Столовые Приборы
60_Junk1x1_M_006_DescKey,"Несколько ужасно испорченных, и совершенно непригодных столовых приборов."

60_Junk1x1_M_011_NameKey,Замок
60_Junk1x1_M_011_DescKey,Ржавый нависной замок без ключа. Не слишком полезен для лагеря.

60_Junk1x1_M_012_NameKey,Ножницы
60_Junk1x1_M_012_DescKey,Пара ржавых ножниц. Не похоже, что они были изначально острыми.

60_Junk1x1_M_015_NameKey,Бритва
60_Junk1x1_M_015_DescKey,"Старая ржавая бритва, которая, скорее всего срежет больше кожи, чем волос."

60_Junk1x1_M_020_NameKey,Банка
60_Junk1x1_M_020_DescKey,"An opened metal can. No food inside, so it should be recycled."

60_Junk1x1_M_021_NameKey,Кружка
60_Junk1x1_M_021_DescKey,Треснувшая кружка. Края выглядят достаточно острыми, чтобы использовать ее как оружие, почти.

60_Junk1x2_M_003_NameKey,Сломанный Тесак
60_Junk1x2_M_003_DescKey,Сломанный кухонный тесак, способный развалиться на части при любом применении силы.

60_Junk1x2_M_004_NameKey,Шпатель
60_Junk1x2_M_004_DescKey,Погнутая и сломанная лопатка. Сейчас она едва выдерживает собственный вес.

60_Junk1x2_M_007_NameKey,Сломанный Гаечный Ключ
60_Junk1x2_M_007_DescKey,"Возможно, этот гаечный ключ не очень серьезно поврежден, но в нем отсутствует довольно важная деталь для откручивания предметов."

60_Junk1x2_M_009_NameKey,Зажимные Клещи
60_Junk1x2_M_009_DescKey,"Эти зажимные клещи не до конца сломаны, но из-за ржавчины их невозможно открыть и закрыть."

60_Junk1x2_M_015_NameKey,Фляга
60_Junk1x2_M_015_DescKey,Помятая металлическая фляга. Не пейте ничего, что выливается из этой ржавой штуки.

#,[ Junk - Machine ]
60_Junk1x1_MA_001_NameKey,Сломанный Блендер
60_Junk1x1_MA_001_DescKey,Этим блендером действительно жестоко обращались. Можно только представить, что им смешивали, когда стал таким.

60_Junk1x1_MA_002_NameKey,Поджаренный Тостер
60_Junk1x1_MA_002_DescKey,"Очень грязный, неработающий тостер. Возможно, кто-то пытался положить в него тосты вместо хлеба."

60_Junk1x1_MA_003_NameKey,Швейная Машинка
60_Junk1x1_MA_003_DescKey,Сломанная швейная машинка, которая уничтожит любую одежду, которую попытаетесь шить.

60_Junk1x1_MA_006_NameKey,Сломанный Батарейный Блок
60_Junk1x1_MA_006_DescKey,"Батарейный блок для какого-нибудь большого портативного устройства. Он явно старый, и в нем не осталось заряда."

60_Junk1x1_MA_010_NameKey,Сломанная Дрель
60_Junk1x1_MA_010_DescKey,"Довольно маленькая ручная дрель. По крайней мере, это была дрель, пока ее наконечник не был полностью срезан."

60_Junk1x1_MA_014_NameKey,Тупая Ручная Пила
60_Junk1x1_MA_014_DescKey,Старая циркулярная пила с тупым краем и без сменных лезвий.

60_Junk1x1_MA_021_NameKey,Электрическая Дрель
60_Junk1x1_MA_021_DescKey,"Сломанная электродрель. Корпус значительно поврежден, но внутренности выглядят работоспособными."

60_Junk1x1_MA_024_NameKey,Фен
60_Junk1x1_MA_024_DescKey,Сломанный фен. Он бесполезен за пределами утилизатора.

#,[ Junk - Plastic ]
60_Junk1x1_P_001_NameKey,Смятая Бутылка для Воды
60_Junk1x1_P_001_DescKey,Эта бутылка для воды выглядит так, будто ее сто раз переехали. Кто-то должен переработать ее.

60_Junk1x1_P_002_NameKey,Пластиковые Отходы
60_Junk1x1_P_002_DescKey,Кусочки пластика, оставшиеся после разборки.

60_Junk1x1_P_007_NameKey,Расческа
60_Junk1x1_P_007_DescKey,"Пыльная расческа с несколькими отсутствующими зубьями. В любом случае, на расчесывание нет времени."

#,[ Junk - Wood ]
60_Junk1x1_W_001_NameKey,Сломанные Доски
60_Junk1x1_W_001_DescKey,Поломанные и погнутые деревянные доски, которые, скорее всего, рассыпались бы в щепки еще до того, как стали бы опорой.

60_Junk2x1_W_001_NameKey,Композитная Древесина
60_Junk2x1_W_001_DescKey,Доски созданные из сочетания всех видов флоры, которых можно найти на Титане. Они встречаются довольно редко, поскольку на Титане не так много лесов.
